service_name,country_code,availability_type,title_count,unique_titles
Bloome plus Amazon Channel,JP,subscription,15,9
blue TV,CH,subscription,128,128
BluTV Amazon Channel,DE,subscription,9,5
Booh Amazon Channel,BR,subscription,50,50
Booh Amazon Channel,CL,subscription,9,9
Booh Amazon Channel,CO,subscription,9,9
Booh Amazon Channel,MX,subscription,49,49
Box Brazil Play Amazon Channel,BR,subscription,6,3
Bravo TV,US,subscription,27,15
Bravo TV,US,free,1,1
BritBox,AU,subscription,189,189
BritBox,CA,subscription,404,404
BritBox,DK,subscription,71,71
BritBox,NO,subscription,70,70
BritBox,SE,subscription,72,72
BritBox,US,subscription,394,394
BritBox Amazon Channel,AU,subscription,122,70
BritBox Amazon Channel,CA,subscription,201,116
BritBox Amazon Channel,GB,subscription,2,1
BritBox Amazon Channel,US,subscription,201,117
Britbox Apple TV Channel ,AU,subscription,168,106
Britbox Apple TV Channel ,CA,subscription,212,123
Britbox Apple TV Channel ,US,subscription,213,125
Britbox Apple TV Channel ,US,free,1,1
Broadway HD Amazon Channel,US,subscription,10,8
BroadwayHD,CA,subscription,1,1
Brollie,AU,ads,35,35
Brown Sugar Amazon Channel,US,subscription,2,2
BS10 STAR CHANNEL EX Amazon Channel,JP,subscription,34,27
BYUtv,US,free,7,7
CaixaForum+,ES,free,1,1
Canal+,AT,subscription,64,60
Canal+,CH,subscription,58,48
Canal+,FR,subscription,299,234
Canal+,NL,subscription,19,16
CANAL+,PL,subscription,63,58
Canal+ Séries,FR,subscription,66,39
Cartoon Network Amazon Channel,US,subscription,9,6
Catchplay,SG,subscription,1,1
CBC Gem,CA,ads,153,106
CDA Premium,PL,subscription,93,93
CG Collection Amazon channel,IT,subscription,10,10
CG TV STREAMING,IT,subscription,27,27
Chai Flicks,US,subscription,5,4
Channel 4,GB,ads,251,160
Channel 4,GB,subscription,2,1
Channel 4,IE,ads,2,2
Channel 4 Plus,GB,subscription,54,54
Channel 4 Plus,IE,subscription,26,26
Channel K Amazon Channel,IN,subscription,17,17
Channel K Amazon Channel,JP,subscription,93,52
Channel Kyofu Amazon Channel,JP,subscription,2,2
Chaupal Amazon Channel,AU,subscription,3,3
Chaupal Amazon Channel,GB,subscription,3,3
Cindie Amazon Channel,CL,subscription,2,2
Cindie Amazon Channel,CO,subscription,2,2
Cindie Amazon Channel,MX,subscription,32,29
CINE,AR,free,3,3
CINE BMovie Amazon Channel,IT,subscription,3,3
Cine Comico Amazon Channel,IT,subscription,4,4
Cine+ OCS Amazon Channel ,FR,subscription,211,204
Cineasterna,FI,free,27,27
Cineasterna,NO,free,34,34
Cineasterna,SE,free,38,38
CineAutore Amazon Channel,IT,subscription,7,7
Cinefil Wow Plus Amazon Channel,JP,subscription,96,75
Cinema of Hearts Amazon Channel,DE,subscription,32,32
Cinemax Amazon Channel,US,subscription,19,19
Cinemax Apple TV Channel,US,subscription,2,2
CineMember,BE,subscription,22,22
CineMember,NL,subscription,22,22
CineMix+ Amazon Channel,AT,subscription,17,17
CineMix+ Amazon Channel,DE,subscription,81,79
Cineverse,CA,ads,155,155
Cineverse,CA,subscription,3,3
Cineverse,US,ads,203,203
Cineverse,US,subscription,8,8
Cinu,CH,subscription,22,22
Cirkus Amazon Channel ,DE,subscription,5,3
Citytvplus,CA,subscription,46,46
Citytvplus Amazon Channel,CA,subscription,153,90
Claro tv+,BR,subscription,545,438
